"last_name, first_name","player_id","year","pa","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Cabrera, Miguel","408234","2020","231",22.1,10.4,".250",".417",".329","0.746",".288",".520",".323",".379",".366",,,,,,,,,"93.2","12.1",36.8,9.7,49.7,"102.655113117","96.026886144",31.6,47.7
"Cruz Jr., Nelson","443558","2020","214",27.1,11.7,".303",".595",".397","0.992",".269",".545",".411",".383",".369",,,,,,,,,"91.6","9.4",39.4,15,47.2,"102.723679524","95.93307824",34.2,47.6
"Peralta, David","444482","2020","218",20.6,6,".300",".433",".339","0.772",".260",".375",".333",".299",".304",,,,,,,,,"89.2","6.4",29.4,5,36.3,"100.556636709","94.354591139",21.1,46.6
"Longoria, Evan","446334","2020","209",18.7,5.3,".254",".425",".297","0.722",".282",".524",".308",".364",".329",,,,,,,,,"91.7","10.7",29.9,11.5,45.2,"101.530260256","95.520896474",21,45
"Cabrera, Asdrúbal","452678","2020","213",18.8,8.9,".242",".447",".305","0.752",".243",".429",".319",".317",".307",,,,,,,,,"89.5","13.7",30.5,6.5,38.3,"97.982868684","93.323023224",20.5,46.1
"Blackmon, Charlie","453568","2020","247",17.8,7.7,".303",".448",".356","0.804",".276",".426",".340",".331",".340",,,,,,,,,"86.9","13.5",38.5,4.9,29.7,"97.303074157","92.71975736",23.3,50.2
"Solano, Donovan","456781","2020","203",19.2,4.9,".326",".463",".365","0.828",".278",".417",".357",".320",".320",,,,,,,,,"88.5","15.5",43.4,4.6,34.9,"98.263815526","93.264044768",22,51.9
"McCutchen, Andrew","457705","2020","241",19.9,9.1,".253",".433",".324","0.757",".276",".484",".327",".358",".346",,,,,,,,,"89.7","18.2",36.5,8.2,41.2,"99.22758119","93.968213095",22,40.6
"Votto, Joey","458015","2020","223",19.3,16.6,".226",".446",".354","0.800",".253",".478",".347",".369",".377",,,,,,,,,"87.4","15.4",36.4,9.1,35.7,"98.39738875","93.296095944",22.5,36.2
"Santana, Carlos","467793","2020","255",16.9,18.4,".199",".350",".349","0.699",".251",".448",".316",".372",".393",,,,,,,,,"88","12.2",32.3,6.7,36.6,"99.260366296","93.650599074",20.6,36.3
"Brantley Jr., Michael","488726","2020","187",15,9.1,".300",".476",".364","0.840",".260",".413",".362",".325",".327",,,,,,,,,"88.7","10.2",34.5,4.9,37.3,"98.251374648","93.415636667",16.3,39.9
"Gurriel Jr., Yuli","493329","2020","230",11.7,5.2,".232",".384",".274","0.658",".265",".408",".281",".318",".314",,,,,,,,,"89.3","13.9",34.4,3.7,36.5,"98.527696064","93.454652781",15.6,48.8
"Escobar, Eduardo","500871","2020","222",18.5,6.8,".212",".335",".270","0.605",".263",".396",".257",".306",".317",,,,,,,,,"88.6","18.1",34.8,5.5,31.7,"97.095200488","92.633428037",21.6,51.4
"Martinez, J.D.","502110","2020","237",24.9,9.3,".213",".389",".291","0.680",".229",".443",".290",".318",".306",,,,,,,,,"89.5","14.7",39.6,11,41.6,"99.85455974","94.246308758",28.1,51.9
"Reddick, Josh","502210","2020","210",20,9.5,".245",".378",".316","0.694",".246",".360",".304",".303",".319",,,,,,,,,"85.9","19.1",34.7,4.8,29.3,"96.145119315","92.092886986",22.6,46.5
"Goldschmidt, Paul","502671","2020","231",18.6,16,".304",".466",".417","0.883",".285",".510",".387",".396",".403",,,,,,,,,"89.2","11.7",42.3,10.7,40.9,"99.2678272","93.874685503",23.7,40.6
"Gonzalez, Marwin","503556","2020","199",20.6,8.5,".211",".320",".286","0.606",".240",".401",".269",".314",".315",,,,,,,,,"89.2","12.6",31.9,5.1,38.4,"98.202361739","93.451501168",23.5,43
"Altuve, Jose","514888","2020","210",18.6,8.1,".219",".344",".286","0.630",".230",".349",".278",".288",".296",,,,,,,,,"86.7","9.3",24.8,4.6,33.3,"97.480630811","92.777053741",20.2,50
"Hernández, César","514917","2020","261",21.8,9.2,".283",".408",".355","0.763",".273",".396",".335",".330",".346",,,,,,,,,"89.1","5.6",37.3,4,37.3,"98.999012093","93.787809064",19.6,43.6
"Segura, Jean","516416","2020","217",20.7,10.6,".266",".422",".347","0.769",".250",".391",".333",".318",".334",,,,,,,,,"87.7","11.2",31.8,6.1,38.5,"99.748813288","93.958321438",22.1,46.8
"Marte, Starling","516782","2020","250",16.4,4.8,".281",".430",".340","0.770",".264",".420",".333",".326",".326",,,,,,,,,"87.1","6.5",30.3,6.4,30.3,"97.604057802","92.829315028",25.2,52.7
